true_dept,true_priority,pred_dept,pred_priority,dept_correct,prio_correct,fast_path,rewrite_score,rewrite_reason,reasoning_score,reasoning_reason,routing_score,routing_reason
General Inquiry,low,General Inquiry,low,1,1,0,3,"The rewrite preserves the original meaning and request clearly, only removing the non-essential 'General question' line without changing intent.",2,"The reasoning is plausible and aligns with the ticket content, but it provides no concrete evidence such as model confidence scores, retrieved policy/priority criteria, or RAG citations to substantiate the routing decision.",3,"The ticket is simply asking for a link to API changelog/release notes (an informational request), which fits General Inquiry, and there is no urgency or active issue indicated, supporting low priority."
Service Outages and Maintenance,high,Service Outages and Maintenance,high,1,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence score (99.0%) and ties the 'high' priority to concrete ticket evidence (global CDN outage, all customers affected, no workaround, platform-wide unavailability) that matches outage priority criteria.",3,"Department and priority are correct because the ticket explicitly describes a global CDN outage impacting all products and customers worldwide with no workaround, and the reasoning cites these details to justify a high-severity outage classification."
Customer Service,medium,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new terminology.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no concrete RAG evidence/chunk citation and the HR routing is not clearly supported by ticket specifics beyond generic 'onboarding' wording.",1,"The ticket is a customer complaint about onboarding documentation and an unresponsive onboarding specialist, which should route to Customer Service with at least medium priority, so both the department and priority (and the reasoning) are incorrect."
Service Outages and Maintenance,low,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence score (99.0%) for routing to Service Outages and Maintenance and ties the high priority directly to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide disruption).",1,"While the department matches, the predicted priority is high but the true priority is low, so the routing decision is incorrect despite reasoning citing the global outage impact."
General Inquiry,medium,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request clearly, only removing the non-essential 'General question' without changing intent.",2,"The reasoning matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved knowledge chunks, or explicit priority criteria thresholds.",2,"The department is correctly General Inquiry, but the priority is misclassified as low since the true priority is medium despite the ticket being a straightforward informational request."
Returns and Exchanges,low,Sales and Pre-Sales,low,0,1,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct and consistent with the ticket content, but it provides no concrete evidence such as model confidence scores, retrieved knowledge/RAG citations, or explicit priority criteria beyond generic statements.",1,"The ticket is a pre-purchase compatibility/product update inquiry suited to Sales/Pre-Sales and low priority is appropriate, but the provided true department is Returns and Exchanges so the department assignment is marked wrong."
General Inquiry,medium,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The justification matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved knowledge-base chunks, or explicit priority criteria thresholds.",2,"The department is correctly General Inquiry, but the priority is misclassified as low since the true priority is medium despite the ticket being a straightforward informational request."
Technical & IT Support,low,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning with no added assumptions or vocabulary changes.",2,"The justification is logically consistent with the ticket impact but remains generic and provides no concrete evidence such as model confidence percentages, retrieved routing-policy chunks, or explicit priority criteria references.",1,"The predicted department and priority do not match the provided true labels (Technical & IT Support and low), even though the reasoning cites the VPN outage impacting ~200 users."
Service Outages and Maintenance,high,Service Outages and Maintenance,high,1,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,It cites a specific transformer confidence (99.0%) and directly ties the ticket’s explicit “global CDN outage affecting all products worldwide with no workaround” to Service Outages and Maintenance and to high priority via business-critical unavailability criteria.,3,"Both department and priority match the ticket, and the reasoning correctly cites the global CDN outage impacting all products worldwide with no workaround as evidence for Service Outages and high priority."
Returns and Exchanges,low,Sales and Pre-Sales,low,0,1,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket content (pre-purchase compatibility inquiry → Sales/Pre-Sales, low urgency → low priority) but provides no concrete evidence like confidence percentages, retrieved RAG chunks, or explicit priority criteria.",1,"The predicted department (Sales and Pre-Sales) conflicts with the provided true department (Returns and Exchanges), so the routing is incorrect even though the low priority matches the ticket's informational nature."
Returns and Exchanges,high,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clear, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct and consistent with the ticket content, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority criteria beyond generic statements.",1,"The ticket is a pre-purchase compatibility inquiry (fits Sales/Pre-Sales) and shows no urgency (low priority), so the provided 'true' labels of Returns/Exchanges and high priority are inconsistent with the ticket content."
General Inquiry,high,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The routing choice and priority rationale are sensible but the explanation is generic and provides no concrete evidence such as model confidence scores, retrieved policy snippets, or specific priority criteria citations.",2,"The department is correctly General Inquiry, but the priority is misclassified as low since the true priority is high, and the reasoning does not justify why it should be low beyond stating there is no urgency."
Returns and Exchanges,high,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket content (pre-purchase compatibility question → Sales/Pre-Sales, low urgency), but it provides no concrete evidence like model confidence scores, RAG citations, or explicit priority criteria thresholds.",1,"The ticket is a pre-purchase product compatibility inquiry (fits Sales/Pre-Sales) and shows no urgency, so labeling the true department as Returns/Exchanges and true priority as high indicates the routing decision is incorrect."
Customer Service,medium,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no concrete RAG evidence (e.g., retrieved chunk/department) and the justification remains generic.",1,"The ticket is clearly about customer onboarding support and unresponsive onboarding specialist, so it should route to Customer Service with at least medium priority, making both the department and priority (and the reasoning) incorrect."
Service Outages and Maintenance,high,Service Outages and Maintenance,high,1,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,It cites a specific transformer confidence score (99.0%) and directly ties the ticket’s explicit global CDN outage/no-workaround impact to business-critical unavailability criteria to justify both department and high priority.,3,"Both department and priority match the ticket’s description of a global CDN outage impacting all products worldwide with no workaround, and the reasoning cites these specific facts to justify a high-severity outage routing."
General Inquiry,medium,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The reasoning correctly maps an informational request to General Inquiry and low priority, but it provides no concrete evidence like model confidence scores, retrieved policy/chunk citations, or explicit priority rubric references.",2,"The department is correctly General Inquiry for a link request, but the priority is misclassified as low since the true priority is medium despite the ticket not indicating urgency."
Sales and Pre-Sales,medium,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves all original meaning and details with only a minor grammatical tweak, without adding assumptions or new terminology.",1,"The justification is generic and provides no concrete evidence such as model confidence percentages, retrieved department-specific RAG chunks, or explicit priority criteria beyond vague statements.",2,"Department routing to Sales and Pre-Sales is correct for updating sales materials, but priority should be at least medium since outdated brochures/data sheets can mislead customers, and the reasoning downplays this impact."
Returns and Exchanges,low,Sales and Pre-Sales,low,0,1,0,3,"The rewrite preserves the original meaning and key details with a clean, professional phrasing and no added assumptions or injected vocabulary.",2,"The justification is broadly correct for a pre-purchase compatibility question but provides only generic rationale and no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority criteria.",1,"The priority is correctly low, but the department is wrong because the true department is Returns and Exchanges while the ticket is routed to Sales and Pre-Sales."
Service Outages and Maintenance,low,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",2,"The justification matches the ticket content and references a 'high confidence prediction' and priority criteria, but it provides no specific transformer confidence value or any concrete RAG evidence/chunk citations.",2,"The department routing is correct for a CDN outage, but the predicted priority conflicts with the provided true priority (low) despite the reasoning citing global impact and no workaround."
Billing and Payments,high,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority.",1,"The department is correct, but the predicted low priority is wrong versus the true high priority, so the overall routing decision is incorrect despite reasoning that cites the ticket’s general, non-urgent wording."
Human Resources,low,Human Resources,low,1,1,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible low-priority rationale, but provides no RAG chunk evidence and the department justification is generic given the HIPAA/security training context.",3,"The ticket requests developing an employee security awareness training program (phishing and HIPAA) for internal staff with a rollout next quarter, which fits Human Resources and indicates low urgency, supporting the low priority."
Technical & IT Support,high,Service Outages and Maintenance,high,0,1,0,3,The rewrite preserves all key details and urgency with only minor punctuation changes and no added assumptions or vocabulary injection.,2,"The justification is logically consistent and references impact/no workaround, but it provides no concrete evidence such as model confidence percentages, retrieved department chunks, or explicit priority criteria beyond generic statements.",1,"Priority is correctly high, but the department is misrouted because a failed VPN concentrator requiring immediate restoration is a Technical & IT Support incident rather than Service Outages and Maintenance."
Billing and Payments,medium,Billing and Payments,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor wording change, remaining clear and professional without adding assumptions.",3,"It cites a specific transformer confidence score (99.7%) and ties the ticket’s content (general billing question, no urgency) directly to low-priority criteria, clearly supporting Billing and Payments + low priority.",2,"The department is correctly Billing and Payments, but the priority is questionable because the true priority is medium despite the ticket being a general future-reference billing question, so the reasoning doesn’t justify the mismatch."
Sales and Pre-Sales,high,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, keeping the wording professional and accurate.",2,"The justification is broadly plausible (sales brochures/data sheet imply Sales/Pre-Sales and low urgency), but it provides no concrete evidence like confidence scores, retrieved RAG chunks, or explicit priority criteria beyond generic statements.",2,"The department is correctly Sales and Pre-Sales because the ticket is about updating sales brochures/data sheets, but the predicted low priority is incorrect given the true high priority and the reasoning downplays the potential customer-facing impact of outdated materials."
Sales and Pre-Sales,low,Sales and Pre-Sales,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, without adding assumptions or new terminology.",2,"The reasoning is broadly correct and aligns the ticket with Sales/Pre-Sales and low urgency, but it provides no concrete evidence such as confidence scores, retrieved department chunks, or explicit priority criteria.",3,"The ticket explicitly flags outdated feature descriptions and a cybersecurity data sheet referencing a legacy interface in sales materials, which fits Sales and Pre-Sales ownership and is appropriately low priority since it’s a non-urgent content refresh."
Service Outages and Maintenance,medium,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence value (99.0%) for routing to Service Outages and Maintenance and ties the 'high' priority directly to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide unavailability).",2,"The department routing is correct and the reasoning cites clear evidence of a global outage, but the predicted priority conflicts with the true medium priority, making the priority assessment questionable."
Human Resources,high,Human Resources,low,1,0,0,3,The rewrite preserves all key details and meaning with only minor wording adjustments and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements.",1,"While routing to Human Resources is correct for employee training, the priority is misclassified as low despite the ticket explicitly involving HIPAA compliance and organization-wide security awareness, which typically warrants high priority."
Returns and Exchanges,high,Sales and Pre-Sales,low,0,0,0,3,The rewrite preserves the original meaning and key details with only minor wording changes and no added assumptions or injected vocabulary.,2,"The justification matches the ticket content (pre-purchase compatibility question) but provides only generic rationale and no concrete evidence like model confidence scores, retrieved policy chunks, or explicit priority criteria.",1,"The routing is incorrect because the true department is Returns and Exchanges and true priority is high, while the prediction sent it to Sales/Pre-Sales with low priority despite the mismatch."
Service Outages and Maintenance,low,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence score (99.0%) for routing to Service Outages and Maintenance and ties the 'high' priority directly to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide disruption).",2,"The department is correctly routed to Service Outages and Maintenance, but the priority is incorrect (true is low) despite the reasoning citing strong evidence for high severity (global outage, all customers affected, no workaround)."
Customer Service,medium,Human Resources,medium,0,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no RAG chunk evidence and the justification remains generic without concrete supporting details beyond the confidence score.",1,"The department is misrouted to Human Resources even though the ticket is a customer complaint about onboarding support and documentation (Customer Service), though the medium priority is appropriate."
Sales and Pre-Sales,low,Sales and Pre-Sales,low,1,1,0,3,"The rewrite preserves all original meaning and details with only a minor grammatical tweak, remaining clear and professional.",2,"The justification is plausible and ties the ticket text to Sales/Pre-Sales and low urgency, but it provides no concrete evidence like transformer confidence values or specific RAG chunks/departments beyond generic statements about uncertainty.",3,"The ticket is about updating outdated sales brochures/data sheets (sales materials), which fits Sales and Pre-Sales, and it’s a non-urgent informational refresh request supporting low priority."
Customer Service,low,Human Resources,low,0,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic rationale for low priority, but provides no concrete RAG evidence and the HR routing is not clearly supported by the ticket content.",1,"The department is misrouted because the ticket is a customer complaint about onboarding support and documentation needing follow-up (Customer Service), even though the low priority assessment is reasonable."
Technical & IT Support,high,Service Outages and Maintenance,high,0,1,0,3,The rewrite preserves all key details and urgency from the original with only minor punctuation changes and no added assumptions or vocabulary injection.,2,"The justification correctly ties the VPN concentrator outage impacting ~200 users and no workaround to the Service Outages/Maintenance category and high priority, but it provides no concrete evidence like model confidence scores or specific RAG/routing-rule citations.",1,"Priority is correctly high, but the department is incorrect because the true routing is Technical & IT Support even though the reasoning cites a VPN concentrator failure impacting ~200 users and no workaround."
Returns and Exchanges,medium,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clear, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct and aligns the ticket content with Sales/Pre-Sales and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved policy chunks, or specific priority criteria.",1,"The predicted department and priority do not match the provided true labels (Returns and Exchanges, medium), so the routing decision is incorrect despite the reasoning citing product compatibility inquiry."
General Inquiry,high,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential phrase ""General question"" removed.",2,"The reasoning matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved knowledge chunks, or explicit priority criteria thresholds.",2,"The department is correctly General Inquiry, but the priority is wrong (true is high) and the reasoning incorrectly assumes low urgency despite the ticket’s need to track API changes and deprecations."
Human Resources,low,Human Resources,low,1,1,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements.",3,"Department and priority are correct, and the reasoning cites the ticket’s focus on employee training and a next-quarter rollout with no immediate urgency to justify low priority."
Sales and Pre-Sales,medium,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves all original meaning and details with only a minor grammatical tweak, remaining clear and professional.",2,"The justification is broadly plausible (sales materials and low urgency) but it provides no concrete evidence such as confidence percentages, retrieved RAG chunks, or explicit priority criteria beyond generic statements.",2,"The department routing to Sales and Pre-Sales fits the request to refresh sales brochures/data sheets, but priority is questionable because incorrect cybersecurity materials could impact customer trust and sales, aligning more with medium than low."
Customer Service,medium,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new terminology.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no concrete RAG evidence (e.g., retrieved chunk/department) and the HR routing is not clearly supported by the ticket text.",1,"The ticket is a customer complaint about onboarding support and documentation, which should route to Customer Service with at least medium priority, so both the department and the reasoning for low priority are incorrect."
Service Outages and Maintenance,medium,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence score (99.0%) for routing to Service Outages and Maintenance and ties the high priority directly to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide disruption).",2,"The department routing is correct and the reasoning cites the global outage and lack of workaround, but the predicted priority conflicts with the true medium priority, making the priority assessment questionable."
General Inquiry,low,General Inquiry,low,1,1,0,3,"The rewrite preserves the original meaning and key details, only removing the redundant closing phrase without adding assumptions or new terminology.",2,"The reasoning is broadly sensible but generic, providing no concrete evidence like model confidence percentages, retrieved policy/chunk references, or explicit priority criteria beyond a subjective assessment.",3,"The ticket is explicitly asking for a link to API changelog/release notes (an informational request), fitting General Inquiry, and it indicates no urgency or active issue, supporting low priority."
General Inquiry,low,General Inquiry,low,1,1,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The justification matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved policy snippets, or specific priority criteria citations.",3,"The ticket is an informational request for a link to API changelog/release notes, which fits General Inquiry, and it indicates no urgency or active issue, supporting low priority."
Service Outages and Maintenance,high,Service Outages and Maintenance,high,1,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence (99.0%) and ties the outage details (global impact, all customers, no workaround) to clear priority criteria for a business-critical service disruption.",3,"Both the department and high priority are correct, and the reasoning cites specific ticket evidence (global CDN outage impacting all products worldwide, broken interfaces for all customers, no workaround) to justify the routing and urgency."
Customer Service,high,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic rationale for low priority, but provides no concrete ticket-based evidence for routing to Human Resources (and no RAG chunk evidence at all).",1,"The ticket is a customer complaint about onboarding support and requests follow-up, so it should route to Customer Service with high priority, making both the predicted department and priority incorrect and the reasoning unsupported."
Customer Service,high,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no RAG chunk evidence and the justification for routing to Human Resources is generic and not clearly grounded in the ticket content.",1,"The ticket is a customer complaint about onboarding support needing follow-up, so it should route to Customer Service with high priority, making both the predicted department (Human Resources) and priority (low) incorrect and the reasoning unsupported."
Service Outages and Maintenance,medium,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence score (99.0%) and ties the ticket’s concrete details (global CDN outage, all customers affected, no workaround, platform-wide disruption) directly to the Service Outages and Maintenance department and to high-priority outage criteria.",2,"The department is correctly routed to Service Outages and Maintenance, but the priority is questionable since the true priority is medium despite the reasoning citing a global outage affecting all customers with no workaround."
Billing and Payments,medium,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected terminology.,3,It cites a specific transformer confidence (99.7%) and directly ties the ticket’s billing/downgrade wording and “for future reference” phrasing to the Billing and Payments department and low priority.,2,"The department is correctly routed to Billing and Payments, but the priority is misclassified as low since the true priority is medium despite the ticket being a general future-reference billing question."
Customer Service,low,Human Resources,low,0,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no concrete RAG evidence/chunk references and the HR routing is not clearly supported by the ticket content.",1,"The department is misrouted because the ticket is a customer complaint about onboarding documentation and an unresponsive onboarding specialist, which belongs to Customer Service rather than Human Resources, even though the low priority is reasonable."
Service Outages and Maintenance,low,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,It cites a specific transformer confidence (99.0%) and directly ties the ticket’s described global CDN outage impacting all customers with no workaround to the Service Outages and Maintenance department and high-priority criteria.,2,"The department routing is correct for a global CDN outage, but the predicted high priority conflicts with the true low priority despite the ticket describing worldwide impact and no workaround."
Technical & IT Support,medium,Service Outages and Maintenance,high,0,0,0,3,The rewrite preserves all key details and urgency with only minor punctuation changes and no added assumptions or vocabulary injection.,2,"The justification correctly ties the VPN concentrator outage impacting ~200 users and no workaround to the chosen department and high priority, but it provides no concrete evidence like model confidence scores, retrieved knowledge chunks, or explicit priority criteria values.",1,"The department is misrouted because a failed VPN concentrator is a core IT support/network issue (Technical & IT Support), and while the reasoning cites impact to 200 users, it does not justify the incorrect department assignment."
Technical & IT Support,low,Service Outages and Maintenance,high,0,0,0,3,The rewrite preserves all key details and urgency with only minor punctuation changes and no added assumptions or vocabulary.,2,"The justification is logically consistent with the ticket impact but provides no concrete evidence such as model confidence scores, retrieved policy/criteria excerpts, or specific RAG chunks to substantiate the department and priority.",1,"The department is misrouted (this is a VPN/network access incident best handled by Technical & IT Support) and the predicted priority conflicts with the provided true priority, despite citing the widespread outage impact."
